,Oximetria,Hora,Data
0,93,00:01:00,16-06-22
1,92,00:02:00,16-06-22
2,95,00:03:00,16-06-22
3,96,00:04:00,16-06-22
4,94,00:05:00,16-06-22
5,92,00:06:00,16-06-22
6,93,00:07:00,16-06-22
7,98,00:08:00,16-06-22
8,91,00:09:00,16-06-22
9,91,00:10:00,16-06-22
10,93,00:11:00,16-06-22
11,90,00:12:00,16-06-22
12,95,00:13:00,16-06-22
13,92,00:14:00,16-06-22
14,90,00:15:00,16-06-22
15,94,00:16:00,16-06-22
16,91,00:17:00,16-06-22
17,91,00:18:00,16-06-22
18,94,00:19:00,16-06-22
19,97,00:20:00,16-06-22
20,97,00:21:00,16-06-22
21,94,00:22:00,16-06-22
22,90,00:23:00,16-06-22
23,97,00:24:00,16-06-22
24,91,00:25:00,16-06-22
25,90,00:26:00,16-06-22
26,96,00:27:00,16-06-22
27,93,00:28:00,16-06-22
28,98,00:29:00,16-06-22
29,96,00:30:00,16-06-22
30,92,00:31:00,16-06-22
31,95,00:32:00,16-06-22
32,92,00:33:00,16-06-22
33,91,00:34:00,16-06-22
34,97,00:35:00,16-06-22
35,97,00:36:00,16-06-22
36,98,00:37:00,16-06-22
37,94,00:38:00,16-06-22
38,92,00:39:00,16-06-22
39,92,00:40:00,16-06-22
40,97,00:41:00,16-06-22
41,94,00:42:00,16-06-22
42,96,00:43:00,16-06-22
43,91,00:44:00,16-06-22
44,93,00:45:00,16-06-22
45,98,00:46:00,16-06-22
46,94,00:47:00,16-06-22
47,92,00:48:00,16-06-22
48,95,00:49:00,16-06-22
49,97,00:50:00,16-06-22
50,93,00:51:00,16-06-22
51,93,00:52:00,16-06-22
52,91,00:53:00,16-06-22
53,96,00:54:00,16-06-22
54,98,00:55:00,16-06-22
55,98,00:56:00,16-06-22
56,91,00:57:00,16-06-22
57,95,00:58:00,16-06-22
58,91,00:59:00,16-06-22
59,92,01:00:00,16-06-22
60,98,01:01:00,16-06-22
61,92,01:02:00,16-06-22
62,92,01:03:00,16-06-22
63,97,01:04:00,16-06-22
64,93,01:05:00,16-06-22
65,91,01:06:00,16-06-22
66,91,01:07:00,16-06-22
67,94,01:08:00,16-06-22
68,90,01:09:00,16-06-22
69,96,01:10:00,16-06-22
70,97,01:11:00,16-06-22
71,93,01:12:00,16-06-22
72,95,01:13:00,16-06-22
73,91,01:14:00,16-06-22
74,97,01:15:00,16-06-22
75,91,01:16:00,16-06-22
76,92,01:17:00,16-06-22
77,95,01:18:00,16-06-22
78,95,01:19:00,16-06-22
79,94,01:20:00,16-06-22
80,93,01:21:00,16-06-22
81,91,01:22:00,16-06-22
82,96,01:23:00,16-06-22
83,96,01:24:00,16-06-22
84,91,01:25:00,16-06-22
85,94,01:26:00,16-06-22
86,98,01:27:00,16-06-22
87,92,01:28:00,16-06-22
88,94,01:29:00,16-06-22
89,96,01:30:00,16-06-22
90,96,01:31:00,16-06-22
91,97,01:32:00,16-06-22
92,98,01:33:00,16-06-22
93,92,01:34:00,16-06-22
94,93,01:35:00,16-06-22
95,93,01:36:00,16-06-22
96,90,01:37:00,16-06-22
97,92,01:38:00,16-06-22
98,96,01:39:00,16-06-22
99,92,01:40:00,16-06-22
100,90,01:41:00,16-06-22
101,91,01:42:00,16-06-22
102,98,01:43:00,16-06-22
103,92,01:44:00,16-06-22
104,98,01:45:00,16-06-22
105,95,01:46:00,16-06-22
106,94,01:47:00,16-06-22
107,92,01:48:00,16-06-22
108,97,01:49:00,16-06-22
109,96,01:50:00,16-06-22
110,94,01:51:00,16-06-22
111,93,01:52:00,16-06-22
112,91,01:53:00,16-06-22
113,95,01:54:00,16-06-22
114,92,01:55:00,16-06-22
115,91,01:56:00,16-06-22
116,96,01:57:00,16-06-22
117,92,01:58:00,16-06-22
118,95,01:59:00,16-06-22
119,91,02:00:00,16-06-22
120,96,02:01:00,16-06-22
121,93,02:02:00,16-06-22
122,94,02:03:00,16-06-22
123,97,02:04:00,16-06-22
124,96,02:05:00,16-06-22
125,95,02:06:00,16-06-22
126,90,02:07:00,16-06-22
127,96,02:08:00,16-06-22
128,98,02:09:00,16-06-22
129,96,02:10:00,16-06-22
130,94,02:11:00,16-06-22
131,93,02:12:00,16-06-22
132,95,02:13:00,16-06-22
133,94,02:14:00,16-06-22
134,96,02:15:00,16-06-22
135,95,02:16:00,16-06-22
136,96,02:17:00,16-06-22
137,91,02:18:00,16-06-22
138,90,02:19:00,16-06-22
139,96,02:20:00,16-06-22
140,93,02:21:00,16-06-22
141,90,02:22:00,16-06-22
142,97,02:23:00,16-06-22
143,93,02:24:00,16-06-22
144,91,02:25:00,16-06-22
145,96,02:26:00,16-06-22
146,98,02:27:00,16-06-22
147,92,02:28:00,16-06-22
148,93,02:29:00,16-06-22
149,93,02:30:00,16-06-22
150,91,02:31:00,16-06-22
151,96,02:32:00,16-06-22
152,93,02:33:00,16-06-22
153,94,02:34:00,16-06-22
154,92,02:35:00,16-06-22
155,98,02:36:00,16-06-22
156,95,02:37:00,16-06-22
157,91,02:38:00,16-06-22
158,93,02:39:00,16-06-22
159,94,02:40:00,16-06-22
160,91,02:41:00,16-06-22
161,93,02:42:00,16-06-22
162,95,02:43:00,16-06-22
163,96,02:44:00,16-06-22
164,91,02:45:00,16-06-22
165,96,02:46:00,16-06-22
166,93,02:47:00,16-06-22
167,96,02:48:00,16-06-22
168,91,02:49:00,16-06-22
169,95,02:50:00,16-06-22
170,91,02:51:00,16-06-22
171,92,02:52:00,16-06-22
172,92,02:53:00,16-06-22
173,98,02:54:00,16-06-22
174,97,02:55:00,16-06-22
175,93,02:56:00,16-06-22
176,96,02:57:00,16-06-22
177,94,02:58:00,16-06-22
178,94,02:59:00,16-06-22
179,97,03:00:00,16-06-22
180,90,03:01:00,16-06-22
181,96,03:02:00,16-06-22
182,91,03:03:00,16-06-22
183,98,03:04:00,16-06-22
184,94,03:05:00,16-06-22
185,90,03:06:00,16-06-22
186,93,03:07:00,16-06-22
187,95,03:08:00,16-06-22
188,96,03:09:00,16-06-22
189,90,03:10:00,16-06-22
190,91,03:11:00,16-06-22
191,95,03:12:00,16-06-22
192,96,03:13:00,16-06-22
193,98,03:14:00,16-06-22
194,92,03:15:00,16-06-22
195,92,03:16:00,16-06-22
196,91,03:17:00,16-06-22
197,94,03:18:00,16-06-22
198,92,03:19:00,16-06-22
199,97,03:20:00,16-06-22
200,98,03:21:00,16-06-22
201,90,03:22:00,16-06-22
202,95,03:23:00,16-06-22
203,94,03:24:00,16-06-22
204,97,03:25:00,16-06-22
205,97,03:26:00,16-06-22
206,94,03:27:00,16-06-22
207,95,03:28:00,16-06-22
